经号,经名,所属藏经,部类,册别,卷数,作译者,时间
T0297,普賢菩薩行願讚,大正藏,華嚴部類,10,1卷,唐 不空譯,唐618~907
T0298,大方廣普賢所說經,大正藏,華嚴部類,10,1卷,唐 實叉難陀譯,唐618~907
T0299,大方廣總持寶光明經,大正藏,華嚴部類,10,5卷,宋 法天譯,宋960~1279
T0300,大方廣佛華嚴經不思議佛境界分,大正藏,華嚴部類,10,1卷,唐 提雲般若譯,唐618~907
T0301,大方廣如來不思議境界經,大正藏,華嚴部類,10,1卷,唐 實叉難陀譯,唐618~907
T0302,度諸佛境界智光嚴經,大正藏,華嚴部類,10,1卷,失譯,
T0303,佛華嚴入如來德智不思議境界經,大正藏,華嚴部類,10,2卷,隋 闍那崛多譯,隋581~618
T0304,大方廣入如來智德不思議經,大正藏,華嚴部類,10,1卷,唐 實叉難陀譯,唐618~907
T0305,信力入印法門經,大正藏,華嚴部類,10,5卷,元魏 曇摩流支譯,元魏
T0306,大方廣佛花嚴經修慈分,大正藏,華嚴部類,10,1卷,唐 提雲般若等譯,唐618~907
T0307,佛說莊嚴菩提心經,大正藏,華嚴部類,10,1卷,姚秦 鳩摩羅什譯,姚秦
T0308,佛說大方廣菩薩十地經,大正藏,華嚴部類,10,1卷,元魏 吉迦夜譯,元魏
T0309,最勝問菩薩十住除垢斷結經,大正藏,華嚴部類,10,10卷,姚秦 竺佛念譯,姚秦
T0310,大寶積經,大正藏,"寶積部類,淨土宗部類",11,120卷,唐 菩提流志譯,唐618~907
T0311,大方廣三戒經,大正藏,寶積部類,11,3卷,北涼 曇無讖譯,北涼397~460
T0312,佛說如來不思議祕密大乘經,大正藏,寶積部類,11,20卷,宋 法護譯,宋960~1279
T0313,阿閦佛國經,大正藏,寶積部類,11,2卷,後漢 支婁迦讖譯,後漢947~951
T0314,佛說大乘十法經,大正藏,寶積部類,11,1卷,梁 僧伽婆羅譯,梁
T0315a,佛說普門品經,大正藏,寶積部類,11,1卷,西晉 竺法護譯,西晉265~316
T0315b,佛說普門品經,大正藏,寶積部類,11,1卷,西晉 竺法護譯,西晉265~316
T0316,佛說大乘菩薩藏正法經,大正藏,寶積部類,11,40卷,宋 法護等譯,宋960~1279
T0317,佛說胞胎經,大正藏,寶積部類,11,1卷,西晉 竺法護譯,西晉265~316
T0318,文殊師利佛土嚴淨經,大正藏,寶積部類,11,2卷,西晉 竺法護譯,西晉265~316
T0319,大聖文殊師利菩薩佛剎功德莊嚴經,大正藏,寶積部類,11,3卷,唐 不空譯,唐618~907
T0320,父子合集經,大正藏,寶積部類,11,20卷,宋 日稱等譯,宋960~1279
T0321,佛說護國尊者所問大乘經,大正藏,寶積部類,12,4卷,宋 施護譯,宋960~1279
T0322,法鏡經,大正藏,寶積部類,12,1卷,後漢 安玄譯,後漢947~951
T0323,郁迦羅越問菩薩行經,大正藏,寶積部類,12,1卷,西晉 竺法護譯,西晉265~316
T0324,佛說幻士仁賢經,大正藏,寶積部類,12,1卷,西晉 竺法護譯,西晉265~316
T0325,佛說決定毘尼經,大正藏,寶積部類,12,1卷,西晉 燉煌三藏譯,西晉265~316
T0326,佛說三十五佛名禮懺文,大正藏,寶積部類,12,1卷,唐 不空譯,唐618~907
T0327,發覺淨心經,大正藏,寶積部類,12,2卷,隋 闍那崛多譯,隋581~618
T0328,佛說須賴經,大正藏,寶積部類,12,1卷,曹魏 白延譯,曹魏220~265
T0329,佛說須賴經,大正藏,寶積部類,12,1卷,前涼 支施崙譯,前涼301~387
T0330,佛說菩薩修行經,大正藏,寶積部類,12,1卷,西晉 白法祖譯,西晉265~316
T0331,佛說無畏授所問大乘經,大正藏,寶積部類,12,3卷,宋 施護等譯,宋960~1279
T0332,佛說優填王經,大正藏,寶積部類,12,1卷,西晉 法炬譯,西晉265~316
T0333,佛說大乘日子王所問經,大正藏,寶積部類,12,1卷,宋 法天譯,宋960~1279
T0334,佛說須摩提菩薩經,大正藏,寶積部類,12,1卷,西晉 竺法護譯,西晉265~316
T0335,佛說須摩提菩薩經,大正藏,寶積部類,12,1卷,姚秦 鳩摩羅什譯,姚秦
T0336,須摩提經,大正藏,寶積部類,12,1卷,唐 菩提流志譯,唐618~907
T0337,佛說阿闍貰王女阿術達菩薩經,大正藏,寶積部類,12,1卷,西晉 竺法護譯,西晉265~316
T0338,佛說離垢施女經,大正藏,寶積部類,12,1卷,西晉 竺法護譯,西晉265~316
T0339,得無垢女經,大正藏,寶積部類,12,1卷,元魏 瞿曇般若流支譯,元魏
T0340,文殊師利所說不思議佛境界經,大正藏,寶積部類,12,2卷,唐 菩提流志譯,唐618~907
T0341,聖善住意天子所問經,大正藏,寶積部類,12,3卷,元魏 毘目智仙共般若流支譯,元魏
T0342,佛說如幻三昧經,大正藏,寶積部類,12,2卷,西晉 竺法護譯,西晉265~316
T0343,佛說太子刷護經,大正藏,寶積部類,12,1卷,西晉 竺法護譯,西晉265~316
T0344,佛說太子和休經,大正藏,寶積部類,12,1卷,失譯,
T0345,慧上菩薩問大善權經,大正藏,寶積部類,12,2卷,西晉 竺法護譯,西晉265~316
T0346,佛說大方廣善巧方便經,大正藏,寶積部類,12,4卷,宋 施護譯,宋960~1279
T0347,大乘顯識經,大正藏,寶積部類,12,2卷,唐 地婆訶羅譯,唐618~907
T0348,佛說大乘方等要慧經,大正藏,寶積部類,12,1卷,後漢 安世高譯,後漢947~951
T0349,彌勒菩薩所問本願經,大正藏,寶積部類,12,1卷,西晉 竺法護譯,西晉265~316
T0350,佛說遺日摩尼寶經,大正藏,寶積部類,12,1卷,後漢 支婁迦讖譯,後漢947~951
T0351,佛說摩訶衍寶嚴經,大正藏,寶積部類,12,1卷,失譯,
T0352,佛說大迦葉問大寶積正法經,大正藏,寶積部類,12,5卷,宋 施護譯,宋960~1279
T0353,勝鬘師子吼一乘大方便方廣經,大正藏,寶積部類,12,1卷,劉宋 求那跋陀羅譯,劉宋420~479
T0354,毘耶娑問經,大正藏,寶積部類,12,2卷,元魏 瞿曇般若流支譯,元魏
T0355,入法界體性經,大正藏,寶積部類,12,1卷,隋 闍那崛多譯,隋581~618
T0356,佛說寶積三昧文殊師利菩薩問法身經,大正藏,寶積部類,12,1卷,後漢 安世高譯,後漢947~951
T0357,如來莊嚴智慧光明入一切佛境界經,大正藏,寶積部類,12,2卷,元魏 曇摩流支譯,元魏
T0358,度一切諸佛境界智嚴經,大正藏,寶積部類,12,1卷,梁 僧伽婆羅等譯,梁
T0359,佛說大乘入諸佛境界智光明莊嚴經,大正藏,寶積部類,12,5卷,宋 法護等譯,宋960~1279
T0360,佛說無量壽經,大正藏,"寶積部類,淨土宗部類",12,2卷,曹魏 康僧鎧譯,曹魏220~265
T0361,佛說無量清淨平等覺經,大正藏,"寶積部類,淨土宗部類",12,4卷,後漢 支婁迦讖譯,後漢947~951
T0362,佛說阿彌陀三耶三佛薩樓佛檀過度人道經,大正藏,"寶積部類,淨土宗部類",12,2卷,吳 支謙譯,吳229~280
T0363,佛說大乘無量壽莊嚴經,大正藏,"寶積部類,淨土宗部類",12,3卷,宋 法賢譯,宋960~1279
T0364,佛說大阿彌陀經,大正藏,"寶積部類,淨土宗部類",12,2卷,宋 王日休校輯,宋960~1279
T0365,佛說觀無量壽佛經,大正藏,"寶積部類,淨土宗部類",12,1卷,宋 畺良耶舍譯,宋960~1279
T0366,佛說阿彌陀經,大正藏,"寶積部類,淨土宗部類",12,1卷,姚秦 鳩摩羅什譯,姚秦
T0367,稱讚淨土佛攝受經,大正藏,"寶積部類,淨土宗部類",12,1卷,唐 玄奘譯,唐618~907
T0368,拔一切業障根本得生淨土神呪,大正藏,"寶積部類,淨土宗部類",12,1卷,劉宋 求那跋陀羅重譯,劉宋420~479
T0369,阿彌陀佛說呪,大正藏,"寶積部類,淨土宗部類",12,1卷,,
T0370,阿彌陀鼓音聲王陀羅尼經,大正藏,"寶積部類,淨土宗部類",12,1卷,失譯,
T0371,觀世音菩薩授記經,大正藏,"寶積部類,淨土宗部類",12,1卷,宋 曇無竭譯,宋960~1279
T0372,佛說如幻三摩地無量印法門經,大正藏,"寶積部類,淨土宗部類",12,3卷,宋 施護等譯,宋960~1279
T0373,後出阿彌陀佛偈,大正藏,"寶積部類,淨土宗部類",12,1卷,失譯,
T0374,大般涅槃經,大正藏,涅槃部類,12,40卷,北涼 曇無讖譯,北涼397~460
T0375,大般涅槃經,大正藏,涅槃部類,12,36卷,宋 慧嚴等依泥洹經加之,宋960~1279
T0376,佛說大般泥洹經,大正藏,涅槃部類,12,6卷,東晉 法顯譯,東晉317~420
T0377,大般涅槃經後分,大正藏,涅槃部類,12,2卷,唐 若那跋陀羅譯,唐618~907
T0378,佛說方等般泥洹經,大正藏,涅槃部類,12,2卷,西晉 竺法護譯,西晉265~316
T0379,四童子三昧經,大正藏,涅槃部類,12,3卷,隋 闍那崛多譯,隋581~618
T0380,大悲經,大正藏,涅槃部類,12,5卷,高齊 那連提耶舍譯,高齊
T0381,等集眾德三昧經,大正藏,涅槃部類,12,3卷,西晉 竺法護譯,西晉265~316
T0382,集一切福德三昧經,大正藏,涅槃部類,12,3卷,姚秦 鳩摩羅什譯,姚秦
T0383,摩訶摩耶經,大正藏,涅槃部類,12,2卷,蕭齊 曇景譯,蕭齊
T0384,菩薩從兜術天降神母胎說廣普經,大正藏,涅槃部類,12,7卷,姚秦 竺佛念譯,姚秦
T0385,中陰經,大正藏,涅槃部類,12,2卷,姚秦 竺佛念譯,姚秦
T0386,蓮華面經,大正藏,涅槃部類,12,2卷,隋 那連提耶舍譯,隋581~618
T0387,大方等無想經,大正藏,涅槃部類,12,6卷,北涼 曇無讖譯,北涼397~460
T0388,大雲無想經卷第九,大正藏,涅槃部類,12,1卷,姚秦 竺佛念譯,姚秦
T0389,佛垂般涅槃略說教誡經,大正藏,涅槃部類,12,1卷,姚秦 鳩摩羅什譯,姚秦
T0390,佛臨涅槃記法住經,大正藏,涅槃部類,12,1卷,唐 玄奘譯,唐618~907
T0391,般泥洹後灌臘經,大正藏,涅槃部類,12,1卷,西晉 竺法護譯,西晉265~316
T0392,佛滅度後棺斂葬送經,大正藏,涅槃部類,12,1卷,失譯,
T0393,迦葉赴佛般涅槃經,大正藏,涅槃部類,12,1卷,東晉 竺曇無蘭譯,東晉317~420
T0394,佛入涅槃密迹金剛力士哀戀經,大正藏,涅槃部類,12,1卷,失譯,
T0395,佛說當來變經,大正藏,涅槃部類,12,1卷,西晉 竺法護譯,西晉265~316
T0396,佛說法滅盡經,大正藏,涅槃部類,12,1卷,失譯,
T0397,大方等大集經,大正藏,大集部類,13,60卷,北涼 曇無讖譯,北涼397~460
T0398,大哀經,大正藏,大集部類,13,8卷,西晉 竺法護譯,西晉265~316
T0399,寶女所問經,大正藏,大集部類,13,4卷,西晉 竺法護譯,西晉265~316
T0400,佛說海意菩薩所問淨印法門經,大正藏,大集部類,13,18卷,宋 惟淨等譯,宋960~1279
T0401,佛說無言童子經,大正藏,大集部類,13,2卷,西晉 竺法護譯,西晉265~316
T0402,寶星陀羅尼經,大正藏,大集部類,13,10卷,唐 波羅頗蜜多羅譯,唐618~907
T0403,阿差末菩薩經,大正藏,大集部類,13,7卷,西晉 竺法護譯,西晉265~316
T0404,大集大虛空藏菩薩所問經,大正藏,大集部類,13,8卷,唐 不空譯,唐618~907
T0405,虛空藏菩薩經,大正藏,大集部類,13,1卷,姚秦 佛陀耶舍譯,姚秦
T0406,虛空藏菩薩神呪經,大正藏,大集部類,13,1卷,失譯,
T0407,虛空藏菩薩神呪經,大正藏,大集部類,13,1卷,宋 曇摩蜜多譯,宋960~1279
T0408,虛空孕菩薩經,大正藏,大集部類,13,2卷,隋 闍那崛多譯,隋581~618
T0409,觀虛空藏菩薩經,大正藏,大集部類,13,1卷,劉宋 曇摩蜜多譯,劉宋420~479
T0410,大方廣十輪經,大正藏,大集部類,13,8卷,失譯,
T0411,大乘大集地藏十輪經,大正藏,大集部類,13,10卷,唐 玄奘譯,唐618~907
T0412,地藏菩薩本願經,大正藏,大集部類,13,2卷,唐 實叉難陀譯,唐618~907
T0413,百千頌大集經地藏菩薩請問法身讚,大正藏,大集部類,13,1卷,唐 不空譯,唐618~907
T0414,菩薩念佛三昧經,大正藏,大集部類,13,5卷,劉宋 功德直譯,劉宋420~479
T0415,大方等大集經菩薩念佛三昧分,大正藏,大集部類,13,10卷,隋 達磨笈多譯,隋581~618
T0416,大方等大集經賢護分,大正藏,大集部類,13,5卷,隋 闍那崛多譯,隋581~618
T0417,般舟三昧經,大正藏,大集部類,13,1卷,後漢 支婁迦讖譯,後漢947~951
T0418,般舟三昧經,大正藏,大集部類,13,3卷,後漢 支婁迦讖譯,後漢947~951
T0419,拔陂菩薩經,大正藏,大集部類,13,1卷,失譯,
T0420,自在王菩薩經,大正藏,大集部類,13,2卷,姚秦 鳩摩羅什譯,姚秦
T0421,奮迅王問經,大正藏,大集部類,13,2卷,元魏 瞿曇般若流支譯,元魏
T0422,大集譬喻王經,大正藏,大集部類,13,2卷,隋 闍那崛多譯,隋581~618
T0423,僧伽吒經,大正藏,大集部類,13,4卷,元魏 月婆首那譯,元魏
T0424,大集會正法經,大正藏,大集部類,13,5卷,宋 施護譯,宋960~1279
T0425,賢劫經,大正藏,經集部類,14,8卷,西晉 竺法護譯,西晉265~316
T0426,佛說千佛因緣經,大正藏,經集部類,14,1卷,後秦 鳩摩羅什譯,後秦
T0427,佛說八吉祥神呪經,大正藏,經集部類,14,1卷,吳 支謙譯,吳229~280
T0428,佛說八陽神呪經,大正藏,經集部類,14,1卷,西晉 竺法護譯,西晉265~316
T0429,佛說八部佛名經,大正藏,經集部類,14,1卷,元魏 瞿曇般若流支譯,元魏
T0430,八吉祥經,大正藏,經集部類,14,1卷,梁 僧伽婆羅譯,梁
T0431,八佛名號經,大正藏,經集部類,14,1卷,隋 闍那崛多譯,隋581~618
T0432,佛說十吉祥經,大正藏,經集部類,14,1卷,失譯,
T0433,佛說寶網經,大正藏,經集部類,14,1卷,西晉 竺法護譯,西晉265~316
T0434,佛說稱揚諸佛功德經,大正藏,經集部類,14,3卷,元魏 吉迦夜譯,元魏
T0435,佛說滅十方冥經,大正藏,經集部類,14,1卷,西晉 竺法護譯,西晉265~316
T0436,受持七佛名號所生功德經,大正藏,經集部類,14,1卷,唐 玄奘譯,唐618~907
T0437,大乘寶月童子問法經,大正藏,經集部類,14,1卷,宋 施護譯,宋960~1279
T0438,佛說大乘大方廣佛冠經,大正藏,經集部類,14,2卷,宋 法護等譯,宋960~1279
T0439,佛說諸佛經,大正藏,經集部類,14,1卷,宋 施護譯,宋960~1279
T0440,佛說佛名經,大正藏,經集部類,14,12卷,元魏 菩提流支譯,元魏
T0441,佛說佛名經,大正藏,經集部類,14,30卷,,
T0442,十方千五百佛名經,大正藏,經集部類,14,1卷,失譯,
T0443,五千五百佛名神呪除障滅罪經,大正藏,經集部類,14,8卷,隋 闍那崛多譯,隋581~618
T0444,佛說百佛名經,大正藏,經集部類,14,1卷,隋 那連提耶舍譯,隋581~618
T0445,佛說不思議功德諸佛所護念經,大正藏,經集部類,14,2卷,失譯,
T0446a,過去莊嚴劫千佛名經,大正藏,經集部類,14,1卷,闕譯,
T0446b,過去莊嚴劫千佛名經,大正藏,經集部類,14,1卷,失譯,
T0447a,現在賢劫千佛名經,大正藏,經集部類,14,1卷,闕譯,
T0447b,現在賢劫千佛名經,大正藏,經集部類,14,1卷,,
T0448a,未來星宿劫千佛名經,大正藏,經集部類,14,1卷,闕譯,
T0448b,未來星宿劫千佛名經,大正藏,經集部類,14,1卷,失譯,
T0449,佛說藥師如來本願經,大正藏,經集部類,14,1卷,隋 達摩笈多譯,隋581~618
T0450,藥師琉璃光如來本願功德經,大正藏,經集部類,14,1卷,唐 玄奘譯,唐618~907
T0451,藥師琉璃光七佛本願功德經,大正藏,經集部類,14,2卷,唐 義淨譯,唐618~907
T0452,佛說觀彌勒菩薩上生兜率天經,大正藏,經集部類,14,1卷,宋 沮渠京聲譯,宋960~1279
T0453,佛說彌勒下生經,大正藏,經集部類,14,1卷,西晉 竺法護譯,西晉265~316
T0454,佛說彌勒下生成佛經,大正藏,經集部類,14,1卷,後秦 鳩摩羅什譯,後秦
T0455,佛說彌勒下生成佛經,大正藏,經集部類,14,1卷,唐 義淨譯,唐618~907
T0456,佛說彌勒大成佛經,大正藏,經集部類,14,1卷,姚秦 鳩摩羅什譯,姚秦
T0457,佛說彌勒來時經,大正藏,經集部類,14,1卷,失譯,
T0458,文殊師利問菩薩署經,大正藏,經集部類,14,1卷,後漢 支婁迦讖譯,後漢947~951
T0459,佛說文殊悔過經,大正藏,經集部類,14,1卷,西晉 竺法護譯,西晉265~316
T0460,佛說文殊師利淨律經,大正藏,經集部類,14,1卷,西晉 竺法護譯,西晉265~316
T0461,佛說文殊師利現寶藏經,大正藏,經集部類,14,2卷,西晉 竺法護譯,西晉265~316
T0462,大方廣寶篋經,大正藏,經集部類,14,3卷,劉宋 求那跋陀羅譯,劉宋420~479
T0463,佛說文殊師利般涅槃經,大正藏,經集部類,14,1卷,西晉 聶道真譯,西晉265~316
T0464,文殊師利問菩提經,大正藏,經集部類,14,1卷,姚秦 鳩摩羅什譯,姚秦
T0465,伽耶山頂經,大正藏,經集部類,14,1卷,元魏 菩提流支譯,元魏
T0466,佛說象頭精舍經,大正藏,經集部類,14,1卷,隋 毘尼多流支譯,隋581~618
T0467,大乘伽耶山頂經,大正藏,經集部類,14,1卷,唐 菩提流志譯,唐618~907
T0468,文殊師利問經,大正藏,經集部類,14,2卷,梁 僧伽婆羅譯,梁
T0469,文殊問經字母品第十四,大正藏,經集部類,14,1卷,唐 不空譯,唐618~907
T0470,佛說文殊師利巡行經,大正藏,經集部類,14,1卷,元魏 菩提流支譯,元魏
T0471,佛說文殊師利行經,大正藏,經集部類,14,1卷,隋 豆那掘多譯,隋581~618
T0472,佛說大乘善見變化文殊師利問法經,大正藏,經集部類,14,1卷,宋 天息災譯,宋960~1279
T0473,佛說妙吉祥菩薩所問大乘法螺經,大正藏,經集部類,14,1卷,宋 法賢譯,宋960~1279
T0474,佛說維摩詰經,大正藏,經集部類,14,2卷,吳 支謙譯,吳229~280
T0475,維摩詰所說經,大正藏,經集部類,14,3卷,姚秦 鳩摩羅什譯,姚秦
T0476,說無垢稱經,大正藏,經集部類,14,6卷,唐 玄奘譯,唐618~907
T0477,佛說大方等頂王經,大正藏,經集部類,14,1卷,西晉 竺法護譯,西晉265~316
T0478,大乘頂王經,大正藏,經集部類,14,1卷,梁 月婆首那譯,梁
T0479,善思童子經,大正藏,經集部類,14,2卷,隋 闍那崛多譯,隋581~618
T0480,佛說月上女經,大正藏,經集部類,14,2卷,隋 闍那崛多譯,隋581~618
T0481,持人菩薩經,大正藏,經集部類,14,4卷,西晉 竺法護譯,西晉265~316
T0482,持世經,大正藏,經集部類,14,4卷,姚秦 鳩摩羅什譯,姚秦
T0483,三曼陀跋陀羅菩薩經,大正藏,經集部類,14,1卷,西晉 聶道真譯,西晉265~316
T0484,不思議光菩薩所說經,大正藏,經集部類,14,1卷,後秦 鳩摩羅什譯,後秦
T0485,無所有菩薩經,大正藏,經集部類,14,4卷,隋 闍那崛多等譯,隋581~618
T0486,師子莊嚴王菩薩請問經,大正藏,經集部類,14,1卷,唐 那提譯,唐618~907
T0487,離垢慧菩薩所問禮佛法經,大正藏,經集部類,14,1卷,唐 那提譯,唐618~907
T0488,寶授菩薩菩提行經,大正藏,經集部類,14,1卷,宋 法賢譯,宋960~1279
T0489,佛說除蓋障菩薩所問經,大正藏,經集部類,14,20卷,宋 法護等譯,宋960~1279
T0490,佛說八大菩薩經,大正藏,經集部類,14,1卷,宋 法賢譯,宋960~1279
T0491,六菩薩亦當誦持經,大正藏,經集部類,14,1卷,失譯,
T0492a,佛說阿難問事佛吉凶經,大正藏,經集部類,14,1卷,後漢 安世高譯,後漢947~951
T0492b,阿難問事佛吉凶經,大正藏,經集部類,14,1卷,後漢 安世高譯,後漢947~951
T0493,佛說阿難四事經,大正藏,經集部類,14,1卷,吳 支謙譯,吳229~280
T0494,阿難七夢經,大正藏,經集部類,14,1卷,東晉 竺曇無蘭譯,東晉317~420
T0495,佛說阿難分別經,大正藏,經集部類,14,1卷,乞伏秦 法堅譯,乞伏秦
T0496,佛說大迦葉本經,大正藏,經集部類,14,1卷,西晉 竺法護譯,西晉265~316
T0497,佛說摩訶迦葉度貧母經,大正藏,經集部類,14,1卷,劉宋 求那跋陀羅譯,劉宋420~479
T0498,佛說初分說經,大正藏,經集部類,14,2卷,宋 施護譯,宋960~1279
T0499,佛為阿支羅迦葉自化作苦經,大正藏,經集部類,14,1卷,失譯,
T0500,羅云忍辱經,大正藏,經集部類,14,1卷,西晉 法炬譯,西晉265~316
T0501,佛說沙曷比丘功德經,大正藏,經集部類,14,1卷,西晉 法炬譯,西晉265~316
T0502,佛為年少比丘說正事經,大正藏,經集部類,14,1卷,西晉 法炬譯,西晉265~316
T0503,比丘避女惡名欲自殺經,大正藏,經集部類,14,1卷,西晉 法炬譯,西晉265~316
T0504,比丘聽施經,大正藏,經集部類,14,1卷,東晉 曇無蘭譯,東晉317~420
T0505,佛說隨勇尊者經,大正藏,經集部類,14,1卷,宋 施護等譯,宋960~1279
T0506,犍陀國王經,大正藏,經集部類,14,1卷,後漢 安世高譯,後漢947~951
T0507,佛說未生冤經,大正藏,經集部類,14,1卷,吳 支謙譯,吳229~280
T0508,阿闍世王問五逆經,大正藏,經集部類,14,1卷,西晉 法炬譯,西晉265~316
T0509,阿闍世王授決經,大正藏,經集部類,14,1卷,西晉 法炬譯,西晉265~316
T0510,採花違王上佛授決號妙花經,大正藏,經集部類,14,1卷,東晉 竺曇無蘭譯,東晉317~420
T0511,佛說蓱沙王五願經,大正藏,經集部類,14,1卷,吳 支謙譯,吳229~280
T0512,佛說淨飯王般涅槃經,大正藏,經集部類,14,1卷,劉宋 沮渠京聲譯,劉宋420~479
T0513,佛說琉璃王經,大正藏,經集部類,14,1卷,西晉 竺法護譯,西晉265~316
T0514,佛說諫王經,大正藏,經集部類,14,1卷,劉宋 沮渠京聲譯,劉宋420~479
T0515,如來示教勝軍王經,大正藏,經集部類,14,1卷,唐 玄奘譯,唐618~907
T0516,佛說勝軍王所問經,大正藏,經集部類,14,1卷,宋 施護譯,宋960~1279
T0517,佛說末羅王經,大正藏,經集部類,14,1卷,劉宋 沮渠京聲譯,劉宋420~479
T0518,佛說旃陀越國王經,大正藏,經集部類,14,1卷,劉宋 沮渠京聲譯,劉宋420~479
T0519,佛說摩達國王經,大正藏,經集部類,14,1卷,劉宋 沮渠京聲譯,劉宋420~479
T0520,佛說薩羅國經,大正藏,經集部類,14,1卷,失譯,
T0521,佛說梵摩難國王經,大正藏,經集部類,14,1卷,失譯,
T0522,普達王經,大正藏,經集部類,14,1卷,失譯,
T0523,佛說五王經,大正藏,經集部類,14,1卷,失譯,
T0524,佛為優填王說王法政論經,大正藏,經集部類,14,1卷,唐 不空譯,唐618~907
T0525,佛說長者子懊惱三處經,大正藏,經集部類,14,1卷,後漢 安世高譯,後漢947~951
T0526,佛說長者子制經,大正藏,經集部類,14,1卷,後漢 安世高譯,後漢947~951
T0527,佛說逝童子經,大正藏,經集部類,14,1卷,西晉 支法度譯,西晉265~316
T0528,佛說菩薩逝經,大正藏,經集部類,14,1卷,西晉 白法祖譯,西晉265~316
T0529,佛說阿鳩留經,大正藏,經集部類,14,1卷,失譯,
T0530,佛說須摩提長者經,大正藏,經集部類,14,1卷,吳 支謙譯,吳229~280
T0531,佛說長者音悅經,大正藏,經集部類,14,1卷,吳 支謙譯,吳229~280
T0532,私呵昧經,大正藏,經集部類,14,1卷,吳 支謙譯,吳229~280
T0533,菩薩生地經,大正藏,經集部類,14,1卷,吳 支謙譯,吳229~280
T0534,佛說月光童子經,大正藏,經集部類,14,1卷,西晉 竺法護譯,西晉265~316
T0535,佛說申日經,大正藏,經集部類,14,1卷,西晉 竺法護譯,西晉265~316
T0536,申日兒本經,大正藏,經集部類,14,1卷,劉宋 求那跋陀羅譯,劉宋420~479
T0537,佛說越難經,大正藏,經集部類,14,1卷,西晉 聶承遠譯,西晉265~316
T0538,佛說呵雕阿那鋡經,大正藏,經集部類,14,1卷,東晉 竺曇無蘭譯,東晉317~420
T0539,盧至長者因緣經,大正藏,經集部類,14,1卷,失譯,
T0540a,佛說樹提伽經,大正藏,經集部類,14,1卷,劉宋 求那跋陀羅譯,劉宋420~479
T0540b,佛說樹提伽經,大正藏,經集部類,14,1卷,劉宋 求那跋陀羅譯,劉宋420~479
T0541,佛說佛大僧大經,大正藏,經集部類,14,1卷,劉宋 沮渠京聲譯,劉宋420~479
T0542,佛說耶祇經,大正藏,經集部類,14,1卷,劉宋 沮渠京聲譯,劉宋420~479
T0543,佛說巨力長者所問大乘經,大正藏,經集部類,14,3卷,宋 智吉祥等譯,宋960~1279
T0544,辯意長者子經,大正藏,經集部類,14,1卷,後魏 法場譯,後魏
T0545,佛說德護長者經,大正藏,經集部類,14,2卷,隋 那連提耶舍譯,隋581~618
T0546,佛說金耀童子經,大正藏,經集部類,14,1卷,宋 天息災譯,宋960~1279
T0547,大花嚴長者問佛那羅延力經,大正藏,經集部類,14,1卷,唐 般若共利言譯,唐618~907
T0548,佛說金光王童子經,大正藏,經集部類,14,1卷,宋 法賢譯,宋960~1279
T0549,佛說光明童子因緣經,大正藏,經集部類,14,4卷,宋 施護譯,宋960~1279
T0550,金色童子因緣經,大正藏,經集部類,14,12卷,宋 惟淨等譯,宋960~1279
T0551,佛說摩鄧女經,大正藏,經集部類,14,1卷,後漢 安世高譯,後漢947~951
T0552,佛說摩登女解形中六事經,大正藏,經集部類,14,1卷,失譯,
T0553,佛說㮈女祇域因緣經,大正藏,經集部類,14,1卷,後漢 安世高譯,後漢947~951
T0554,佛說奈女耆婆經,大正藏,經集部類,14,1卷,後漢 安世高譯,後漢947~951
T0555a,五母子經,大正藏,經集部類,14,1卷,吳 支謙譯,吳229~280
T0555b,五母子經,大正藏,經集部類,14,1卷,吳 支謙譯,吳229~280
T0556,佛說七女經,大正藏,經集部類,14,1卷,吳 支謙譯,吳229~280
T0557,佛說龍施女經,大正藏,經集部類,14,1卷,吳 支謙譯,吳229~280
T0558,佛說龍施菩薩本起經,大正藏,經集部類,14,1卷,西晉 竺法護譯,西晉265~316
T0559,佛說老女人經,大正藏,經集部類,14,1卷,吳 支謙譯,吳229~280
T0560,佛說老母女六英經,大正藏,經集部類,14,1卷,劉宋 求那跋陀羅譯,劉宋420~479
T0561,佛說老母經,大正藏,經集部類,14,1卷,失譯,
T0562,佛說無垢賢女經,大正藏,經集部類,14,1卷,西晉 竺法護譯,西晉265~316
T0563,佛說腹中女聽經,大正藏,經集部類,14,1卷,北涼 曇無讖譯,北涼397~460
T0564,佛說轉女身經,大正藏,經集部類,14,1卷,劉宋 曇摩蜜多譯,劉宋420~479
T0565,順權方便經,大正藏,經集部類,14,2卷,西晉 竺法護譯,西晉265~316
T0566,樂瓔珞莊嚴方便品經,大正藏,經集部類,14,1卷,姚秦 曇摩耶舍譯,姚秦
T0567,佛說梵志女首意經,大正藏,經集部類,14,1卷,西晉 竺法護譯,西晉265~316
T0568,有德女所問大乘經,大正藏,經集部類,14,1卷,唐 菩提流志譯,唐618~907
T0569,佛說心明經,大正藏,經集部類,14,1卷,西晉 竺法護譯,西晉265~316
T0570,佛說賢首經,大正藏,經集部類,14,1卷,西秦 聖堅譯,西秦
T0571,佛說婦人遇辜經,大正藏,經集部類,14,1卷,乞伏秦 聖堅譯,乞伏秦
T0572,佛說長者法志妻經,大正藏,經集部類,14,1卷,失譯,
T0573,差摩婆帝授記經,大正藏,經集部類,14,1卷,元魏 菩提流支譯,元魏
